algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.192363929748535,51.0,,,,,,200.0,50.0,0.4,1.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.1950915336608885,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.178738164901733,51.0,,,,,,200.0,50.0,0.4,1.0,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.158661365509033,51.0,,,,,,200.0,50.0,0.4,1.5,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.191372489929199,51.0,,,,,,200.0,50.0,0.4,1.5,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.194968938827515,51.0,,,,,,200.0,50.0,0.4,1.5,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.095235919952392,51.0,,,,,,200.0,50.0,0.4,2.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.125353813171387,51.0,,,,,,200.0,50.0,0.4,2.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.149904012680054,51.0,,,,,,200.0,50.0,0.4,2.0,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.056368160247803,51.0,,,,,,200.0,50.0,0.7,1.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.175513219833374,51.0,,,,,,200.0,50.0,0.7,1.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.072100257873535,51.0,,,,,,200.0,50.0,0.7,1.0,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.170834970474243,51.0,,,,,,200.0,50.0,0.7,1.5,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,3.9664466857910154,51.0,,,,,,200.0,50.0,0.7,1.5,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.0000968933105465,51.0,,,,,,200.0,50.0,0.7,1.5,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.062220191955566,51.0,,,,,,200.0,50.0,0.7,2.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.05303955078125,51.0,,,,,,200.0,50.0,0.7,2.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.078758239746094,51.0,,,,,,200.0,50.0,0.7,2.0,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.040499210357666,51.0,,,,,,200.0,50.0,0.9,1.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.076824140548706,51.0,,,,,,200.0,50.0,0.9,1.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.128264856338501,51.0,,,,,,200.0,50.0,0.9,1.0,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.0065278053283695,51.0,,,,,,200.0,50.0,0.9,1.5,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.057245349884033,51.0,,,,,,200.0,50.0,0.9,1.5,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.112042236328125,51.0,,,,,,200.0,50.0,0.9,1.5,2.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.027540159225464,51.0,,,,,,200.0,50.0,0.9,2.0,1.0
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.168529367446899,51.0,,,,,,200.0,50.0,0.9,2.0,1.5
PSO,,1.1786294061611025,0.03201861945589739,36210.105702596506,4.226159143447876,51.0,,,,,,200.0,50.0,0.9,2.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.763498258590698,101.0,,,,,,200.0,100.0,0.4,1.0,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.997285985946656,101.0,,,,,,200.0,100.0,0.4,1.0,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.848536252975464,101.0,,,,,,200.0,100.0,0.4,1.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.144908237457276,101.0,,,,,,200.0,100.0,0.4,1.5,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.914214849472046,101.0,,,,,,200.0,100.0,0.4,1.5,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.875372076034546,101.0,,,,,,200.0,100.0,0.4,1.5,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.960731840133667,101.0,,,,,,200.0,100.0,0.4,2.0,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.058250188827515,101.0,,,,,,200.0,100.0,0.4,2.0,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.918877744674683,101.0,,,,,,200.0,100.0,0.7,1.0,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.192206621170044,101.0,,,,,,200.0,100.0,0.4,2.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,7.884508180618286,101.0,,,,,,200.0,100.0,0.7,1.0,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.0412992477417,101.0,,,,,,200.0,100.0,0.7,1.5,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.172510480880737,101.0,,,,,,200.0,100.0,0.7,1.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.272448682785035,101.0,,,,,,200.0,100.0,0.7,1.5,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.04236273765564,101.0,,,,,,200.0,100.0,0.7,1.5,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.117737627029419,101.0,,,,,,200.0,100.0,0.7,2.0,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.055968761444092,101.0,,,,,,200.0,100.0,0.7,2.0,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.060102939605713,101.0,,,,,,200.0,100.0,0.7,2.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.025436544418335,101.0,,,,,,200.0,100.0,0.9,1.0,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.101298141479493,101.0,,,,,,200.0,100.0,0.9,1.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.934741735458374,51.0,,,,,,200.0,50.0,0.4,1.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.050856399536133,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.9520051956176756,51.0,,,,,,200.0,50.0,0.4,1.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.175989389419556,101.0,,,,,,200.0,100.0,0.9,1.0,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.245920419692993,101.0,,,,,,200.0,100.0,0.9,1.5,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.386674785614014,101.0,,,,,,200.0,100.0,0.9,1.5,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.306111383438111,101.0,,,,,,200.0,100.0,0.9,1.5,2.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.20001769065857,101.0,,,,,,200.0,100.0,0.9,2.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.94999680519104,51.0,,,,,,200.0,50.0,0.4,1.5,1.0
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.246521806716919,101.0,,,,,,200.0,100.0,0.9,2.0,1.5
PSO,,1.253127846506032,0.06125346983400198,37982.2815185913,8.20185341835022,101.0,,,,,,200.0,100.0,0.9,2.0,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.8929044723510744,51.0,,,,,,200.0,50.0,0.4,1.5,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.001657104492187,51.0,,,,,,200.0,50.0,0.4,1.5,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.882400941848755,51.0,,,,,,200.0,50.0,0.4,2.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.041332817077636,51.0,,,,,,200.0,50.0,0.4,2.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.02703857421875,51.0,,,,,,200.0,50.0,0.4,2.0,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.079203081130982,51.0,,,,,,200.0,50.0,0.7,1.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.0171849727630615,51.0,,,,,,200.0,50.0,0.7,1.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,3.969307851791382,51.0,,,,,,200.0,50.0,0.7,1.0,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.094275856018067,51.0,,,,,,200.0,50.0,0.7,1.5,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.0963376522064205,51.0,,,,,,200.0,50.0,0.7,1.5,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.017664098739624,51.0,,,,,,200.0,50.0,0.7,1.5,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.136727571487427,51.0,,,,,,200.0,50.0,0.7,2.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.048183155059815,51.0,,,,,,200.0,50.0,0.7,2.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.112925720214844,51.0,,,,,,200.0,50.0,0.7,2.0,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.267212724685669,51.0,,,,,,200.0,50.0,0.9,1.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.107123565673828,51.0,,,,,,200.0,50.0,0.9,1.0,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.156882429122925,51.0,,,,,,200.0,50.0,0.9,1.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.1434873104095455,51.0,,,,,,200.0,50.0,0.9,1.5,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.17958436012268,51.0,,,,,,200.0,50.0,0.9,1.5,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.134022951126099,51.0,,,,,,200.0,50.0,0.9,1.5,2.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.171951198577881,51.0,,,,,,200.0,50.0,0.9,2.0,1.0
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.171463680267334,51.0,,,,,,200.0,50.0,0.9,2.0,1.5
PSO,,1.3410988187233617,0.02017749703016143,39110.90842522648,4.080436325073242,51.0,,,,,,200.0,50.0,0.9,2.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.111165189743042,101.0,,,,,,200.0,100.0,0.4,1.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,7.9836643695831295,101.0,,,,,,200.0,100.0,0.4,1.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.041006088256836,101.0,,,,,,200.0,100.0,0.4,1.5,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.125567197799683,101.0,,,,,,200.0,100.0,0.4,1.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.065380811691284,101.0,,,,,,200.0,100.0,0.4,1.5,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,7.915091180801392,101.0,,,,,,200.0,100.0,0.4,2.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.064821338653564,101.0,,,,,,200.0,100.0,0.4,1.5,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.163124465942383,101.0,,,,,,200.0,100.0,0.4,2.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.203459930419921,101.0,,,,,,200.0,100.0,0.4,2.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.02212839126587,101.0,,,,,,200.0,100.0,0.7,1.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.228697919845581,101.0,,,,,,200.0,100.0,0.7,1.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.218835973739624,101.0,,,,,,200.0,100.0,0.7,1.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.187647914886474,101.0,,,,,,200.0,100.0,0.7,1.5,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.281826448440551,101.0,,,,,,200.0,100.0,0.7,1.5,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,7.983019828796387,101.0,,,,,,200.0,100.0,0.7,2.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.353161430358886,101.0,,,,,,200.0,100.0,0.7,1.5,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.276774835586547,101.0,,,,,,200.0,100.0,0.7,2.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.227386617660523,101.0,,,,,,200.0,100.0,0.7,2.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.32503800392151,101.0,,,,,,200.0,100.0,0.9,1.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,8.020386743545533,101.0,,,,,,200.0,100.0,0.9,1.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.8742657661437985,101.0,,,,,,200.0,100.0,0.9,1.0,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.878483247756958,101.0,,,,,,200.0,100.0,0.9,1.5,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.467471742630005,101.0,,,,,,200.0,100.0,0.9,1.5,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.472910833358765,101.0,,,,,,200.0,100.0,0.9,1.5,2.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.3772753238677975,101.0,,,,,,200.0,100.0,0.9,2.0,1.0
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.2581836700439455,101.0,,,,,,200.0,100.0,0.9,2.0,1.5
PSO,,1.4081832664488383,0.01514933796426818,39128.24504774654,6.193632316589356,101.0,,,,,,200.0,100.0,0.9,2.0,2.0
