experiment_id,num_assets,correlation_level,pop_size,max_iterations,inertia_weight,cognitive_rate,social_rate,repair_method,seed,sharpe_ratio
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
unknown,10,high,100,50,0.7,1.5,1.5,normalize,0,-inf
